CategoryID,AttributeID,description,display_name,free_text,variant
16000064,513059863117215,Import Designation,Import Designation,No,No
16000065,513059863117215,Import Designation,Import Designation,No,No
16000067,513059863117215,Import Designation,Import Designation,No,No
16000069,513059863117215,Import Designation,Import Designation,No,No
16000070,513059863117215,Import Designation,Import Designation,No,No
16000071,513059863117215,Import Designation,Import Designation,No,No
16000072,513059863117215,Import Designation,Import Designation,No,No
16000073,513059863117215,Import Designation,Import Designation,No,No
16000074,513059863117215,Import Designation,Import Designation,No,No
16000075,513059863117215,Import Designation,Import Designation,No,No
16000076,513059863117215,Import Designation,Import Designation,No,No
16000078,513059863117215,Import Designation,Import Designation,No,No
16000079,513059863117215,Import Designation,Import Designation,No,No
16000080,513059863117215,Import Designation,Import Designation,No,No
16000081,513059863117215,Import Designation,Import Designation,No,No
16000082,513059863117215,Import Designation,Import Designation,No,No
16000083,513059863117215,Import Designation,Import Designation,No,No
16000084,513059863117215,Import Designation,Import Designation,No,No
16000085,513059863117215,Import Designation,Import Designation,No,No
16000086,513059863117215,Import Designation,Import Designation,No,No
16000087,513059863117215,Import Designation,Import Designation,No,No
16000088,513059863117215,Import Designation,Import Designation,No,No
16000011,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000014,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000015,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000023,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000025,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000026,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000033,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000035,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000036,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000064,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000065,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000067,513081371926655,Bracelet / Strap Length,Bracelet / Strap Length,No,No
16000011,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000014,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000015,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000023,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000025,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000026,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000033,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000035,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000036,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000064,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000065,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
16000067,513085472452811,Bracelet / Strap Width,Bracelet / Strap Width,No,No
9000055,513087275890107,Stylistic Features,Stylistic Features,No,No
9000064,513087275890107,Stylistic Features,Stylistic Features,No,No
9000088,513087275890107,Stylistic Features,Stylistic Features,No,No
9000146,513087275890107,Stylistic Features,Stylistic Features,No,No
9000154,513087275890107,Stylistic Features,Stylistic Features,No,No
9000216,513087275890107,Stylistic Features,Stylistic Features,No,No
9000220,513087275890107,Stylistic Features,Stylistic Features,No,No
9000231,513087275890107,Stylistic Features,Stylistic Features,No,No
16000215,513087275890107,Stylistic Features,Stylistic Features,No,No
