id,description,display_name,free_text,variant,facet_filter
578718382980252,Cog Size_D_Bikes,Cog Size,Yes,No,No
578718383074302,Color_D_Bikes,Color,Yes,No,No
578718383169366,Crankset_D_Bikes,Crankset,Yes,No,No
578718384308853,Fork_D_Bikes,Fork,Yes,No,No
578718385403136,Frame Material_D_Bikes,Frame Material,Yes,No,No
578718385585029,Front Derailleur_D_Bikes,Front Derailleur,Yes,No,No
578718385678930,Front Hub_D_Bikes,Front Hub,Yes,No,No
578718385772638,Front Wheel_D_Bikes,Front Wheel,Yes,No,No
578718385859405,Handlebar_D_Bikes,Handlebar,Yes,No,No
578718385954535,Headset_D_Bikes,Headset,Yes,No,No
578718386040009,Pedals_D_Bikes,Pedals,Yes,No,No
578718386128622,Rack Mounts_D_Bikes,Rack Mounts,Yes,No,No
578718386242592,Rear Derailleur_D_Bikes,Rear Derailleur,Yes,No,No
578718386327874,Rear Hub_D_Bikes,Rear Hub,Yes,No,No
578718386420083,Rear Shock_D_Bikes,Rear Shock,Yes,No,No
578718386565511,Rear Wheel_D_Bikes,Rear Wheel,Yes,No,No
578718387653342,Saddle_D_Bikes,Saddle,Yes,No,No
578718387750192,Seatpost_D_Bikes,Seatpost,Yes,No,No
578718387838569,Shifters/Levers_D_Bikes,Shifters/Levers,Yes,No,No
578718387924790,Stem_D_Bikes,Stem,Yes,No,No
578718388021191,Tires_D_Bikes,Tires,Yes,No,No
578718388105945,Tubes_D_Bikes,Tubes,Yes,No,No
578718388198522,Weight_D_Bikes,Weight,Yes,No,No
578718388296150,Wheelset_D_Bikes,Wheelset,Yes,No,No
579362984594991,Household Fans_Product Dimensions,Product Dimensions,Yes,No,No
579363308326364,Household Fans_Product Weight,Product Weight,Yes,No,No
579363966367653,Household Fans_Number of Speed Settings,Number Of Speed Settings,Yes,No,No
579576494139855,Health and Beauty_Material_Display_AL,Material,Yes,No,No
583750240537947,Space Heaters_Model Number,Model Number,Yes,No,No
583750568724494,Space Heaters_Number of Heat Settings,Number Of Heat Settings,Yes,No,No
583753118305217,Electrical Equipment_Product Height_Display,Product Height,Yes,No,No
583808381654650,Electrical Equipment_Product Width_Display,Product Width,Yes,No,No
583894501588358,Electrical Equipment_Product Depth_Display,Product Depth,Yes,No,No
583895266234713,Electrical Equipment_Number of Switches_Display/Variant,Number Of Switches,Yes,No,No
583960595441288,Electrical Equipment_Voltage_Display/Variant,Voltage,No,Yes,No
583962120992734,Electrical Equipment_Switch Type_Display/Variant,Switch Type,No,Yes,No
583962439042961,Electrical Equipment_Amperage_Display,Amperage,No,No,No
583963206347228,Electrical Equipment_Model Number_Display,Model Number,Yes,No,No
583965523525628,Electrical Equipment_Number of Switches_Display/Variant,Number Of Switches,Yes,Yes,No
584583832882699,Flashlights_Lumens_Display,Lumens,Yes,No,No
584685272415387,Flashlights_Battery Type_Display,Battery Type,Yes,No,No
584696857140406,Dimensions,Dimensions,Yes,No,No
584699604999833,Flashlights_Runtime_Display,Runtime,Yes,No,No
584702042473267,Flashlights_Distance_Display,Distance,Yes,No,No
584703852126678,Flashlights_Weight_Display,Weight,Yes,No,No
584705304751549,Flaslights_Number of Batteries Required_Display,Number Of Batteries Required,Yes,No,No
584830178136574,Hardware_Assembled Depth_Display,Assembled Depth,Yes,No,No
584830520947384,Hardware_Assembled Width_Display,Assembled Width,Yes,No,No
584830776021200,Hardware_Assembled Height_Display,Assembled Height,Yes,No,No
584832656547899,Hardware_Deadbolt Bore Hole Diameter_Display,Deadbolt Bore Hole Diameter,Yes,No,No
584833107396787,Hardware_Deadbolt Cross Bore Diameter_Display,Deadbolt Cross Bore Diameter,Yes,No,No
584835040398159,Hardware_Deadbolt Strike Height_Display,Deadbolt Strike Height,Yes,No,No
584837590868785,Hardware_Deadbolt Throw Length_Display,Deadbolt Throw Length,Yes,No,No
584838382601091,Hardware_Deadbolt Trim Ring Diameter_Display,Deadbolt Trim Ring Diameter,Yes,No,No
584838598262700,Hardware_Projection_Display,Projection,Yes,No,No
584840331347185,Hardware_Required Door Thickness_Display,Required Door Thickness,Yes,No,No
584842133343763,Hardware_Commercial Hardware Type_Display,Commercial Hardware Type,Yes,No,No
584842695446083,Hardware_Commercial/Residential_Display,Commercial/Residential,No,No,No
584843484214136,Hardware_Deadbolt Type _Display,Deadbolt Type,No,No,No
584843766090444,Hardware_Deadbolt Strike_Display,Deadbolt Strike,Yes,No,No
584844159532823,Hardware_Door Handing_Display,Door Handing,No,No,No
584845309668795,Hardware_Electronic_Display,Electronic,No,No,No
584845549312075,Hardware_Hardware Finish Family_Display,Hardware Finish Family,No,No,No
584845800395383,Hardware_Interior/Exterior_Display,Interior/Exterior,No,No,No
584846024917220,Hardware_Lock Type_Display,Lock Type,No,No,No
584846241987553,Hardware_Material_Display,Material,No,No,No
584846459156862,Hardware_Product Weight_Display,Product Weight,Yes,No,No
584847519084274,Hardware_Security/ANSI Grade_Display,Security/ANSI Grade,No,No,No
584847825737038,Hardware_Door Locks & Knobs Product Type_Display,Door Locks & Knobs Product Type,Yes,No,No
584848171527516,Hardware_Electronic Door Lock Type_Display,Electronic Door Lock Type,No,No,No
584848433622373,Hardware_Power Source_Display,Power Source,No,No,No
584848574267999,Hardware_Number of Batteries Required_Display,Number Of Batteries Required,No,No,No
584848861965497,Hardware_Battery Size_Display,Battery Size,No,No,No
584849008510532,Hardware_Indicator light(s)_Display,Indicator light(s),No,No,No
584849553171898,Hardware_Number of Buttons_Display,Number Of Buttons,No,No,No
584849694967818,Hardware_Timed Entry Allowance_Display,Timed Entry Allowance,No,No,No
584850778289120,Hardware_Holding Force_Display,Holding Force,Yes,No,No
584851075643855,Hardware_Faceplate Depth_Display,Faceplate Depth,Yes,No,No
584851342502848,Hardware_Faceplate Width_Display,Faceplate Width,Yes,No,No
584854446629168,Hardware_Faceplate Height_Display,Faceplate Height,Yes,No,No
584854593460175,Hardware_Strike Plate Height_Display,Strike Plate Height,Yes,No,No
584855103410090,Hardware_Strike Plate Width_Display,Strike Plate Width,Yes,No,No
584855250232759,Hardware_Knob Bore Hole Diameter_Display,Knob Bore Hole Diameter,Yes,No,No
584855884309934,Hardware_Knob Cross Bore Diameter_Display,Knob Cross Bore Diameter,Yes,No,No
584856029129765,Hardware_Knob Diameter_Display,Knob Diameter,Yes,No,No
584856195379459,Hardware_Knob Housing Height_Display,Knob Housing Height,Yes,No,No
584856332436111,Hardware_Knob Housing Width_Display,Knob Housing Width,Yes,No,No
584856472417718,Hardware_Knob/Lever Throw Length_Display,Knob/Lever Throw Length,Yes,No,No
585500966379621,Model Number_Security & Surveillance_Display,Model Number,Yes,No,No
585502651910750,Height_Security & Surveillance_Display,Height,Yes,No,No
585502803741264,Width_Security & Surveillance_Display,Width,Yes,No,No
585503066696296,Depth_Security & Surveillance_Display,Depth,Yes,No,No
585503260205234,Weight_Security & Surveillance_Display,Weight,Yes,No,No
585504278834578,3-Axis Adjustable_Security & Surveillance_Display,3-Axis Adjustable,No,No,No
585504524567471,Audio-Only Option_Security & Surveillance_Display,Audio-Only Option,No,No,No
585504708376343,Auto Detecting_Security & Surveillance_Display,Auto Detecting,No,No,No
585504868537429,Auto Speed Sensing_Security & Surveillance_Display,Auto Speed Sensing,No,No,No
585505032751518,Clock Display_Security & Surveillance_Display,Clock Display,No,No,No
585505243012316,Color Display_Security & Surveillance_Display,Color Display,No,No,No
585505387589071,Data Encryption_Security & Surveillance_Display,Data Encryption,No,No,No
585505611936917,Day/Night Mode_Security & Surveillance_Display,Day/Night Mode,No,No,No
585505767849990,ENERGY STAR Certified_Security & Surveillance_Display,ENERGY STAR Certified,No,No,No
585505986554593,Gigabit Ethernet Speed_Security & Surveillance_Display,Gigabit Ethernet Speed,No,No,No
585507927430690,High Definition_Security & Surveillance_Display,High Definition,No,No,No
585508088655718,Indicator Light(s)_Security & Surveillance_Display,Indicator Light(s),No,No,No
585508280803679,Integrated Modem_Security & Surveillance_Display,Integrated Modem,No,No,No
585508431774143,LED Indicator(s)_Security & Surveillance_Display,LED Indicator(s),No,No,No
585510863238515,Memory Card Slot_Security & Surveillance_Display,Memory Card Slot,No,No,No
585511031368127,Monitor Auto Shut-Off_Security & Surveillance_Display,Monitor Auto Shut-Off,No,No,No
585511205433393,Music Player_Security & Surveillance_Display,Music Player,No,No,No
585511377670738,Pan-Tilt-Zoom_Security & Surveillance_Display,Pan-Tilt-Zoom,No,No,No
585511523066048,Parental Controls_Security & Surveillance_Display,Parental Controls,No,No,No
585511668152750,Plug and Play_Security & Surveillance_Display,Plug and Play,No,No,No
585511831476657,Programmable_Security & Surveillance_Display,Programmable,No,No,No
585511939140330,Rechargeable_Security & Surveillance_Display,Rechargeable,No,No,No
585512089372954,Records Audio_Security & Surveillance_Display,Records Audio,No,No,No
585512233582675,Remote Monitoring_Security & Surveillance_Display,Remote Monitoring,No,No,No
585512392947310,Smartphone Compatible_Security & Surveillance_Display,Smartphone Compatible,No,No,No
585512561880185,Speakerphone_Security & Surveillance_Display,Speakerphone,No,No,No
585512709082701,Temperature Display_Security & Surveillance_Display,Temperature Display,No,No,No
585512878404743,Temperature Tracking_Security & Surveillance_Display,Temperature Tracking,No,No,No
585513080124214,Touch Screen_Security & Surveillance_Display,Touch Screen,No,No,No
585513254868913,Video Recording_Security & Surveillance_Display,Video Recording,No,No,No
585513423985520,Volume Control_Security & Surveillance_Display,Volume Control,No,No,No
585513613651858,Water-Resistant_Security & Surveillance_Display,Water-Resistant,No,No,No
585515460302698,Keyless Entry_Security & Surveillance_Display,Keyless Entry,No,No,No
585515601146943,Backlit_Security & Surveillance_Display,Backlit,No,No,No
585515767117058,Keypad Lock_Security & Surveillance_Display,Keypad Lock,No,No,No
585516112054326,Auxiliary Input_Security & Surveillance_Display,Auxiliary Input,No,No,No
585516261474563,Attached Antenna_Security & Surveillance_Display,Attached Antenna,No,No,No
585516418936875,Dual Band Technology_Security & Surveillance_Display,Dual Band Technology,No,No,No
585516512098370,Weather Resistant_Security & Surveillance_Display,Weather Resistant,No,No,No
585516677964615,ETL Listed_Security & Surveillance_Display,ETL Listed,No,No,No
585516774146722,Plug-In_Security & Surveillance_Display,Plug-In,No,No,No
585516926463478,Z-Wave_Security & Surveillance_Display,Z-Wave_Security & Surveillance_Display,No,No,No
585517067223761,Wall Mountable_Security & Surveillance_Display,Wall Mountable,No,No,No
585517185175104,High Dynamic Range (HDR)_Security & Surveillance_Display,High Dynamic Range (HDR),No,No,No
585517309007773,3D Technology_Security & Surveillance_Display,3D Technology,No,No,No
585517433100832,Curved Screen_Security & Surveillance_Display,Curved Screen,No,No,No
585517577082610,Digital Tuner_Security & Surveillance_Display,Digital Tuner,No,No,No
585517697971489,Sleep Timer_Security & Surveillance_Display,Sleep Timer,No,No,No
585519617644952,Z-Wave_Security & Surveillance_Display 2,Z-Wave,No,No,No
586305484591607,Cushioning_D_Bikes,Cushioning,Yes,No,No
586309474917285,Adjustment_D_Bikes,Adjustment,Yes,No,No
586310748344420,Axle_D_Bikes,Axle,Yes,No,No
586312126345097,Brake Mount_D_Bikes,Brake Mount,Yes,No,No
586326896507634,Max Tire Width_D_Bikes,Max Tire Width,Yes,No,No
586328380841268,Spring_D_Bikes,Spring,Yes,No,No
586329610166033,Steerer_D_Bikes,Steerer,Yes,No,No
586330227216508,Travel_D_Bikes,Travel,Yes,No,No
586331197406512,Clamp_D_Bikes,Clamp,Yes,No,No
586332195940796,Clamp Height_D_Bikes,Clamp Height,Yes,No,No
586333730968546,Lengths_D_Bikes,Lengths,Yes,No,No
586335640162221,Steerer Material_D_Bikes,Steerer Material,Yes,No,No
586339885288834,Dimensions_D_Bikes,Dimensions,Yes,No,No
586340610417011,Rise_D_Bikes,Rise,Yes,No,No
586341406595121,Steerer Diameter_D_Bikes,Steerer Diameter,Yes,No,No
586342009392417,Rake_D_Bikes,Rake,Yes,No,No
586343608568020,Diameter_D_Bikes,Diameter,Yes,No,No
586344160861654,Stack Height_D_Bikes,Stack Height,Yes,No,No
586344943395179,Compatibility_D_Bikes,Compatibility,Yes,No,No
586346442566868,Number of Links_D_Bikes,Number Of Links,Yes,No,No
586346978013450,Size_D_Bikes,Size,Yes,No,No
586347951876307,Size 1_D_Bikes,Size 1,Yes,No,No
586348518007584,Size 2_D_Bikes,Size 2,Yes,No,No
586348916507493,Size 3_D_Bikes,Size 3,Yes,No,No
586353094648686,Bolt Circle Diameter_D_Bikes,Bolt Circle Diameter,Yes,No,No
586353891786794,Ring Material_D_Bikes,Ring Material,Yes,No,No
586354588917419,Rings_D_Bikes,Rings,Yes,No,No
586355209144506,Teeth_D_Bikes,Teeth,Yes,No,No
586356150089465,Bolt Pattern_D_Bikes,Bolt Pattern,Yes,No,No
586357967988578,Adjustments_D_Bikes,Adjustments,Yes,No,No
586358544170785,Float_D_Bikes,Float,Yes,No,No
586359238486486,Shoe Compatibility_D_Bikes,Shoe Compatibility,Yes,No,No
586360153334193,Bend_D_Bikes,Bend,Yes,No,No
586361899107039,Drop_D_Bikes,Drop,Yes,No,No
586362359008735,Reach_D_Bikes,Reach,Yes,No,No
586363235555505,Length_D_Bikes,Length,Yes,No,No
586363693584712,Sweep_D_Bikes,Sweep,Yes,No,No
586364321573330,Clamp Width_D_Bikes,Clamp Width,Yes,No,No
586365097718557,Capacity_D_Bikes,Capacity,Yes,No,No
586365655437269,Max Cog_D_Bikes,Max Cog,Yes,No,No
586366478827782,Max Front Difference_D_Bikes,Max Front Difference,Yes,No,No
586366915532008,Min Cog_D_Bikes,Min Cog,Yes,No,No
586367431076875,Spring Type_D_Bikes,Spring Type,Yes,No,No
586367995184029,Max Chainring_D_Bikes,Max Chainring,Yes,No,No
586368345803014,Fluid Type_D_Bikes,Fluid Type,Yes,No,No
586368770943229,Mount_D_Bikes,Mount,Yes,No,No
586369480914114,Pad Type_D_Bikes,Pad Type,Yes,No,No
586370431052197,Rotor Size_D_Bikes,Rotor Size,Yes,No,No
586374195702852,Pivot_D_Bikes,Pivot,Yes,No,No
586374557199847,Hub_D_Bikes,Hub,Yes,No,No
586375015314393,Lacing Pattern_D_Bikes,Lacing Pattern,Yes,No,No
586375439194949,Rim Height_D_Bikes,Rim Height,Yes,No,No
586376073281615,Rim Width_D_Bikes,Rim Width,Yes,No,No
586376767171704,Skewers Included_D_Bikes,Skewers Included,Yes,No,No
586377341439736,Spacing_D_Bikes,Spacing,Yes,No,No
586378799128874,Spoke Count_D_Bikes,Spoke Count,Yes,No,No
586379273282237,Spokes_D_Bikes,Spokes,Yes,No,No
586379724847684,Tire Size_D_Bikes,Tire Size,Yes,No,No
586380092930400,Tire Type_D_Bikes,Tire Type,Yes,No,No
586380831323289,Disc Compatible_D_Bikes,Disc Compatible,Yes,No,No
586381495384213,Bearing Type_D_Bikes,Bearing Type,Yes,No,No
586381926367989,Holes_D_Bikes,Holes,Yes,No,No
586382382579906,Radial Lace_D_Bikes,Radical Lace,Yes,No,No
586383168211203,Compatibility_D_Bikes,Compatibiity,Yes,No,No
586395903874953,Valve Type_D_Bikes,Valve Type,Yes,No,No
586397223096169,Color_Tablet Cases&Sleeves_Display,Color,No,Yes,Yes
586398683376914,Material,Material_Tablet Cases&Sleeves_Display,Yes,No,No
586401502882672,Brand Compatibility_Tablet Cases&Sleeves_Display,Brand Compatibility,Yes,No,No
586402772696828,Model Compatibility_Tablet Cases&Sleeves_Display,Model Compatibility,Yes,No,No
586407536300101,Hiking & Camping_D_Cooler Type,Cooler Type,No,No,No
586407919485409,Hiking & Camping_D_Cooler Volume Capactiy,Cooler Volume Capactiy,Yes,No,No
586408038921029,Saddle Cover_D_Bikes,Saddle Cover,Yes,No,No
586408298650127,Hiking & Camping_D_Cooler Can Capacity,Cooler Can Capacity,No,No,No
586409996019726,Saddle Rail_D_Bikes,Saddle Rail,Yes,No,No
586410233903923,Hiking & Camping_D_Tent Shape,Tent Shape,No,No,No
586410689765787,Hiking & Camping_F_Temperature Rating Tent,Temperature Rating,No,No,Yes
586411263424585,Hiking & Camping_D_Tent Door Count,Number Of Doors,No,No,No
586412155503713,Material_D_Bikes,Material,Yes,No,No
586412423097235,Hiking & Camping_D_Assembled Dimensions,Assembled Dimensions,Yes,No,No
586412763784227,Hiking & Camping_D_Packed Dimensions,Packed Dimensions,Yes,No,No
586413474476905,Hiking & Camping_FF_Recommended Use,Recommended Use,No,No,Yes
586413524575088,Bottom Bracket Compatibility_D_Bikes,Bottom Bracket Compatibility,Yes,No,No
586418066624346,Hiking & Camping_D_Weight Capacity,Weight Capacity,Yes,No,No
586476222731497,Interior Length_Camera Bags_Display,Interior Length,Yes,No,No
586477018874208,Interior Width_Camera Bags_Display,Interior Width,Yes,No,No
586477309758465,Interior Height_Camera Bags_Display,Interior Height,Yes,No,No
586477609981156,Exterior Length_Camera Bags_Display,Exterior Length,Yes,No,No
586477884368082,Exterior Width_Camera Bags_Display,Exterior Width,Yes,No,No
586478204053712,Exterior Height_Camera Bags_Display,Exterior Height,Yes,No,No
586478478730753,Exterior Material_Camera Bags_Display,Exterior Material,Yes,No,No
586478768920611,Interior Material_Camera Bags_Display,Interior Material,Yes,No,No
586480766252048,Weight_Camera Bags_Display,Weight,Yes,No,No
586513479278400,Number of Beaters,Number Of Beaters,Yes,No,No
586513884992152,Number of Speeds,Number Of Speeds,Yes,No,No
586514185490924,Bowl Capacity,Bowl Capacity,Yes,No,No
586514548005540,Weight - ALL,Weight,Yes,No,No
586514847521424,Material,Material,Yes,No,No
586515110016897,Detachable Mixer 2,Detachable Mixer,Yes,No,No
586534845072893,Clamp Diameter_D_Bikes,Clamp Diameter,Yes,No,No
586539277087057,Electronic Device Buttons_Display_Free Text,Buttons,Yes,No,No
586540288098330,Electronic Security Features_Display_Free Text,Security Features,Yes,No,No
586544754361066,Wireless Encryption Type,Encryption Type(s),Yes,No,No
586545467597640,Wireless Multi-band Type,Multi-band Type,Yes,No,No
586546217023668,Networking_Number of Antennas_Display,Number Of Antennas,No,No,No
586549626479011,Network Range_Electronics_Display,Wireless Range,Yes,No,No
586551137286310,Networking Device_Firewall Technology Types,Firewall Type(s),Yes,No,No
586553829848710,Number of WAN Ports_Display,Number Of WAN Ports,No,No,No
586554432483392,Number of LAN Ports_Display,Number Of LAN Ports,No,No,No
586555515647415,Device System Requirements,System Requirements,Yes,No,No
586558733589652,Networking Device_Range Extension Feature,Range Extender,No,No,No
586559902374950,Router Features,Router Features,No,No,Yes
586566079234362,Memory Card Product Type,Card Type,No,No,Yes
586569143959024,SD Association Speed Class,Speed Class Rating,No,No,Yes
586573509433062,Electronic Device_Durability Features_Display,Durability Features,No,No,No
586574100225407,Memory Card_External Write Protection Switch_Display,External Write Protect Switch,No,No,No
586577187944137,Wireless Enabled_Electronics_Display,Wireless Enabled,No,No,Yes
586588436104911,Camera and Camcorder Compatibility,Camera and Camcorder Compatibility,Yes,No,No
586591117645541,Maximum Height_Tripods_Display_FF,Maximum Height,Yes,No,No
586591744110174,Minimum Height_Tripods_Display,Minimum Height,Yes,No,No
586592900504830,Device Weight Limit_Electronics_Display_lbs,Weight Capacity,Yes,No,No
586593925568210,Folded Length_Display,Folded Length,Yes,No,No
586595970319307,Number of Legs_Electronic Accessories_Display,Number Of Legs,No,No,No
586596499843764,Head Feature_Tripods_Display,Head Feature,Yes,No,No
586603653021076,Cable_Material_Display,Material,Yes,No,No
586612547393734,Lock Type_Security Locks_Display,Lock Type,No,No,Yes
586613575932248,Number of Keys_Security Devices_Display,Number Of Keys,No,No,No
586614704126506,Security Lock Device Compatibility_Display,Device Compatibility,Yes,No,No
586621487441416,Built-in Microphone_Display,Built-in Microphone,No,No,No
586622444846012,Camera Focus Type,Focus Type,Yes,No,No
586626652227817,Video Resolution_Camera_Display,Video Resolution,Yes,No,No
586627684979286,Image Resolution,Image Resolution,Yes,No,No
586629421192358,Maximum Video Frame Rate_Display,Maximum Video Frame Rate,Yes,No,No
586630133180518,High Definition_Camera_Display,High Definition,No,No,No
586632495028131,Device Interface Type_Display,Interface Type,Yes,No,No
586634507589979,Webcam_Features_Display,Features,No,No,No
588907468914353,Ply Count_D_Standard Skateboards & Longboards,Ply Count,Yes,No,No
588908828647377,Trucks_D_Standard Skateboards & Longboards,Trucks,Yes,No,No
588911068755857,Wheel Hardness_D_Standard Skateboards & Longboards,Wheel Hardness,Yes,No,No
588912403174185,Bearings_D_Standard Skateboards & Longboards,Bearings,Yes,No,No
588913676227220,Grip Tape_D_Standard Skateboards & Longboards,Grip Tape,Yes,No,No
588939704281961,Wheel Diameter_D_Standard Skateboards & Longboards,Wheel Diameter,Yes,No,No
589046967377901,Waterproof_D_Bicycle Accessories,Waterproof,Yes,No,No
589047374756388,Dimensions_D_Bicycle Accessories,Dimensions,Yes,No,No
589053628929689,Mounting_D_Bicycle Accessories,Mounting,Yes,No,No
589055082574547,Pump Type_D_Bicycle Accessories,Pump Type,Yes,No,No
589055800483180,Max Psi_D_Bicycle Accessories,Max Psi,Yes,No,No
589056941070117,Gauge_D_Bicycle Accessories,Gauge,Yes,No,No
589057422910240,Lock Style_D_Bicycle Accessories,Lock Style,Yes,No,No
589057885741970,Lock Type_D_Bicycle Accessories,Bicycle Accessories,Yes,No,No
589058257980709,Lock Thickness_D_Bicycle Accessories,Lock Thickness,Yes,No,No
589059186564264,Liquid Capacity_D_Bicycle Accessories,Liquid Capacity,Yes,No,No
589061056704072,Bottle Opening_D_Bicycle Accessories,Bottle Opening,Yes,No,No
589061370033791,Fender Type_D_Bicycle Accessories,Fender Type,Yes,No,No
589062538674821,Number of HDMI Inputs_Display,Number Of HDMI Inputs,No,No,Yes
589063973888954,Audio_Channels_Display,Audio Channels,No,No,Yes
589065762671581,Receiver Connectivity_Facet Filter,Wireless Connectivity,No,No,Yes
589066387683134,Bottle Cap_D_Bicycle Accessories,Bottle Cap,Yes,No,No
589067004944169,Bluetooth Enabled_Display,Bluetooth Enabled,No,No,No
589067908593755,Number of Auxillary Inputs_Display,Number Of Auxillary Inputs,No,No,Yes
589067971499944,Output Power per Channel_Display,Output Power per Channel,No,No,No
589068274726161,Number of USB Inputs_Display,Number Of USB Inputs,No,No,Yes
589068957917500,Built-In HD Audio Decoders_Display,Built-In HD Audio Decoders,No,No,Yes
589069428744234,Ingram_AwardsYear,Award Year,Yes,No,No
589069471073701,Streaming Services Supported_Display,Streaming Services Supported,No,No,Yes
589070200398107,Ingram_AwardCode,Award Type,Yes,No,No
589070384626079,AV Additional Features_Display,Additional Features,No,No,Yes
589071304955351,4K Ultra HD Compatible_Display,4K Ultra HD Compatible,No,No,No
589072124802497,Number of HDMI Outputs_Display,Number Of HDMI Outputs,No,No,Yes
589073033057384,BPA Free_D_Bicycle Accessories,BPA Free,Yes,No,No
589073889294119,Insulated_D_Bicycle Accessories,Insulated,Yes,No,No
589075915389639,Headphone Jack_Display,Headphone Jack,No,No,No
589076245771791,Speaker A/B Switching_Display,Speaker A/B Switching,No,No,No
589076479610149,Number of Audio Zones_Display,Number Of Audio Zones,No,No,No
589076831017129,Total Harmonic Distortion_Display,Total Harmonic Distortion,No,No,No
589077073488740,Minimum Impedance_Display,Minimum Impedance,No,No,No
589077357514480,Receiver Type_Display,Receiver Type,No,No,No
589077566977179,MP3 Player Compatible_Display,MP3 Player Compatible,No,No,No
589077992624669,Multi-Room Audio_Display,Multi-Room Audio,No,No,No
589078282684479,Satellite Radio Ready_Display,Satellite Radio Ready,No,No,No
589078567906005,Number of AM Presets_Display,Number Of AM Presets,No,No,No
589078783303922,Number of FM Presets_Display,Number Of FM Presets,No,No,No
589079529233455,Receiver Input(s)_Display,Receiver Input(s),No,No,No
589080504460441,Wi-Fi Enabled_Display,Wi-Fi Enabled,No,No,No
589132685774902,Weight Capacity_D_Scooters,Weight Capacity,Yes,No,No
589133218141219,Folded Dimensions_D_Scooters,Folded Dimensions,Yes,No,No
589133621698988,Handle Height_D_Scooters,Handle Height,Yes,No,No
589134217804387,Wheel Size_D_Scooters,Wheel Size,Yes,No,No
589134766136858,Wheel Material_D_Scooters,Wheel Material,Yes,No,No
589135734111709,Deck Length_D_Scooters,Deck Length,Yes,No,No
589136137376211,Deck Width_D_Scooters,Deck Width,Yes,No,No
589775111644468,Bead Type_D_Tires & Tubes,Bead Type,Yes,No,No
589776114128245,Foldable_D_Tires & Tubes,Foldable,Yes,No,No
589776898244368,TPI_D_Tires & Tubes,TPI,Yes,No,No
589777255176326,Tread Type_D_Tires & Tubes,Tread Type,Yes,No,No
589780821494509,Valve Length_D_Tires & Tubes,Valve Length,Yes,No,No
589782244809238,Valve Stem Threaded_D_Tires & Tubes,Valve Stem Threaded,Yes,No,No
589794106756673,Height Capacity_D_Kids' Tricycles,Height Capacity,Yes,No,No
589794731835577,Gearing_D_Kids' Tricycles,Gearing,Yes,No,No
589795859001703,Steering_D_Kids' Tricycles,Steering,Yes,No,No
589796986617542,Brake System_D_Kids' Tricycles,Brake System,Yes,No,No
589797515194516,Chain Driven_D_Kids' Tricycles,Chain Driven,Yes,No,No
589805907277025,Seat Height_D_Kids' Tricycles,Seat Height,Yes,No,No
589806609745686,Assembly Details_D_Kids' Tricycles,Assembly Details,Yes,No,No
589823436308006,Bulb Type_D_Lights & Reflectors,Bulb Type,Yes,No,No
589843182120524,Number of Bulbs_D_Lights & Reflectors,Number Of Bulbs,Yes,No,No
589845426095592,Lumens_D_Lights & Reflectors,Lumens,No,No,No
589846441783521,Rechargeable_D_Lights & Reflectors,Rechargeable,Yes,No,No
589848972728504,Charge Time_D_Lights & Reflectors,Charge Time,Yes,No,No
589850457963181,Battery Life_D_Lights & Reflectors,Battery Life,Yes,No,No
589851170217454,Battery_D_Lights & Reflectors,Battery,Yes,No,No
589877844134540,Fit Guide_D_Car Sports Racks,Fit Guide,Yes,No,No
589878754092939,Sizes_D_Car Sports Racks,Sizes,Yes,No,No
589879787288453,Gear Capacity_D_Car Sports Racks,Gear Capacity,Yes,No,No
589939299764859,Thickness_D_Skateboard Parts,Thickness,Yes,No,No
589939836241073,Hardness_D_Skateboard Parts,Hardness,Yes,No,No
592370427791890,Floor Surface - ALL,Floor Surface,Yes,No,No
592381579173666,Water Tank Capacity,Water Tank Capacity,Yes,No,No
592389843291564,Heating Time,Heating Time,Yes,No,No
592393311586746,Cord Length,Cord Length,Yes,No,No
592474252399254,Warranty - ALL,Warranty,Yes,No,No
592475575402717,Rows of Brushes,Rows Of Brushes,Yes,No,No
592503540229704,Dust Pan Capacity,Dust Pan Capacity,Yes,No,No
592521238422690,Voltage,Voltage,Yes,No,No
592522490709329,Ventilation Fans_Voltage,Voltage,Yes,No,No
592523953364681,Air Conditioners & Accessories_BTU Rating,BTUs,No,No,No
594243185086968,Ladders_Weight_Display,Weight,Yes,No,No
594243271733014,Ladders_Material_Display,Material,No,No,Yes
594243373234285,Ladders_Load Weight Capacity_Display,Load Weight Capacity,Yes,No,No
595037652856550,Smart Home Category,Smart Home Category,No,No,No
595155025932163,Key Product Features_Electronics_FF,Key Features,No,No,Yes
595160749213335,Number of Speakers_Display,Number Of Speakers,No,No,No
595162236565267,Speaker Features_Display,Speaker Features,No,No,No
595162708842854,Frequency Response_Display,Frequency Response,Yes,No,No
595164198192409,Woofer Material_Display,Woofer Material,No,No,No
595164540199711,Tweeter Material_Display,Tweeter Material,No,No,No
595164840381747,Number of Woofers_Display,Number Of Woofers,No,No,No
595165133096056,Number of Tweeters_Display,Number Of Tweeters,No,No,No
595165407384265,Speaker Sensitivity_Display,Speaker Sensitivity,No,No,No
595165631600746,Indoor or Outdoor Use_Display,Indoor or Outdoor Use,No,No,No
595214818890737,AV_Memory_RAM_Display,Memory,No,No,Yes
595215564346795,AV_Storage_Capacity_Display,Storage,No,No,Yes
